"","name","category","review.point","price","currency","description"
"58","GlenDronach Grandeur, 31 year old, 45.8%","Single Malt Scotch","94","700.00","$","The new ultra-mature release, following its 33 year old predecessor (bottled by previous owners). It’s nice to see the higher ABV, given that the 33 year old was only 40%. Very soothing. Quite deep on the nose and viscous (almost sappy) on the palate, with gobs of juicy oak and old oak (its age is obvious but not imposing), dark raisin, black raspberry, orange marmalade, roasted nuts, and freshly roasted coffee beans. All of this is peppered with cinnamon, ginger, and charcoal. Polished leather on the finish. I like that it’s sherried, and the sherry is kept in balance. Those of you who liked the 33 year old will also enjoy this one (assuming you can afford it)."
"59","Glenfarclas Family Casks 1987 Cask #3829, 48%","Single Malt Scotch","94","387","$","This is the bomb. Savory and lightly meaty, but sweetened by plum sauce; there’s even some strawberry around the fringes. You could see how with another 30 years this would end up like the ’54. Elegant yet powerful, there’s sandalwood incense, marmalade, even a little dried mango. The distillery’s density is balanced by this fruit. Lush with supple tannins and at its best neat. From a refill butt, this is an exemplary sherried malt. £230"
"60","Glengoyne, 40 year old, 45.9%","Single Malt Scotch","94","5730.00","$","Aged in sherry butts, which is a departure from some of the older Glengoyne vintage samples I have which show more bourbon barrel characteristics. It is a very fruity, spicy, textural dram, with spiced apple, red raspberry, strawberry, plum, golden raisin, fried plantain, and creme brulee. Good grip on the finish, with grape stems and warming spice (cinnamon, cracked peppercorn, and clove). I love the balance on this whisky. It has aged very gracefully. (Limited to 250 bottles worldwide.)"
"61","Glenmorangie Astar 2017, 52.5%","Single Malt Scotch","94","100","$","The first bottling of Astar was released in 2008. The 2017 release was matured in casks made of oak from Missouri’s Ozark Mountains. The nose is floral, with rosehips, orange blossom, and milk chocolate-coated Turkish delight. Honey and citrus notes follow. Voluptuous on the palate; sweet, even sugary fresh fruit notes, plus vanilla, cinnamon, and cloves. Drying from coconut to plain chocolate in the lengthy finish. Extremely accomplished. (Individual reviewer rating: 93)"
"62","Highland Park, 34 year old, 1971 vintage (Cask #8363), 53%","Single Malt Scotch","94","325.00","$","Rummy molasses and toffee sweetness intertwine with roasted nuts and bright, juicy fruit. Suggestions of fig, lavender, leather, and tobacco throughout, with a hint of peat and polished oak on the finish. Not quite as refined as the Highland Park 18 year old, but it makes up for this with its dynamic personality. A delicious ultra-mature, sherry cask-aged whisky. (A Binny’s Beverage Depot exclusive.) 
"
"63","Highland Park, Cask #7957, 1977 vintage, 29 year old, 48.5%","Single Malt Scotch","94","300.00","$","A delicious, well-balanced, ultra-matured expression of Highland Park. Toffee apples, molasses, and vanilla fudge provide a sweet foundation, with evolving notes of dark chocolate, dry spicy oak, tobacco, subtle smoke, and lingering brine on the finish. Nicely done. (Bottled for Old Oaks Cigar & Wine Company) 
"
"64","Highland Park, 32 year old, 1973 Vintage, Cask #8375, 41.3%","Single Malt Scotch","94","350.00","$","An essay in elegance. Silky and soft in texture, and very clean. Notes of peaches and cream, vanilla wafer, soft honey and fruit gum drops. Subtler notes of tropical fruit (pineapple, lemon, coconut), demerara sugar, heather, and anise. Polished oak adds structure and contrast, with a very elegant finish. Hard to believe this whisky is 32 years old. It's lighter and more elegant than the equally splendid Highland Park 30 year old, which I rated a 94 in the last issue. (Bottled exclusively for Park Avenue Liquors.)"
"65","Highland Park 30 Year Old, 48.1%","Single Malt Scotch","94","350.00","$","An exemplary Highland Park. There's certainly plenty of sherry influence in this whisky and it is complementary. (About 2/3 of the whisky was aged on sherry casks, and a lot of these casks were second fill.) The whisky enjoys a delicious foundation of toffee, fruit (lemon, plum, blueberries) and dark chocolate. It continues to develop and evolve on the palate, with emerging notes of heather, nougat, lavender, delicate peat and complex dried spice (especially cinnamon and nutmeg) to balance the sweeter notes. The extra alcohol is also a bonus, providing a drying balance to the whisky's sweetness. Whiskies like this one remind me why I fell in love with whisky in the first place."
"66","Highland Park, 1964 vintage, 42.2%","Single Malt Scotch","94","6088.00","$","A marriage of two casks (refill hogsheads). Significantly darker in color than the 1968 vintage. Darker (and more serious) in personality, too. Red berries (strawberry, raspberry), rhubarb, plum, oak sap, vanilla bean, smoldering peat, coffee grounds, toasted almond, and dusty malt. The finish is long and contemplative, with notes of polished leather, juicy oak, and telicherry peppercorns. £3,750"
"67","Highland Park, 1970 vintage, 48%","Single Malt Scotch","94","3500.00","$","This limited edition bottling consists of a marriage of both European and American oak. Still lively for its age, and beautifully balanced. Bountiful golden fruit (sultana, pineapple upside down cake, tangerine, overripe nectarine) balanced by soothing, creamy vanilla. A peppering of dried spice, chamomile tea, toasted oak, cigar box, and subtle smoke round out the palate. Soft and seductive. (Not available in the U.S.)£2,250"
"68","Highland Park 18 Year Old, 43%","Single Malt Scotch","94","112.00","$","Introduced to the Highland Park portfolio in 1997. Gentle peat, soft toffee, floral notes, and honey on the beautifully fragrant nose.  Superbly balanced on the velvety palate, with brittle toffee, stewed fruits, peat, honey, and a hint of coffee. Smoke and more toffee mingle in the long, elegant finish. "
"69","Lagavulin 12 year old, 56.5%","Single Malt Scotch","94","109.00","$","There’s precious little reticence about this beast, which leaps out of the glass blowing peat smoke everywhere — then comes raffia, Lapsang Souchong tea, seashore, wet rocks, Elastoplast, talcum powder, bog myrtle (laurel), vetiver, and the aromas of a just-expunged peat bonfire with apples baking on it. Huge and complex, in other words.
The palate starts with a fug of smoke being belched at you (non-peat freaks look away, now) then distinct saltiness enlivens the tongue before everything plunges down; intense sweetness takes charge for a moment before it shifts into charred creosoted timbers. 
This begs for some water, and when it’s added, out comes sandalwood and peat smoke and tar and an orris root-like character — it’s not often I get gin-like notes on Lagavulin, but it’s here — which rolls over you as you roll over and succumb to its power. After this year’s sublime distillery-only bottling, it’s clear that Lagavulin is in a real purple patch. Superb. "
"70"," Lagavulin 12 year old (Diageo Special Releases 2017), 56.5%","Single Malt Scotch","94","130","$","This is the 15th Special Releases bottling of Lagavulin 12 year old. Matured in refill American oak hogsheads. The nose is smoky, with kippers, charcuterie, and bonfire embers, offset by berry fruits. On the unctuous palate, smoke blends with vanilla, green apples, and licorice, plus pepper and sea salt. Peppery, ashy peat in the lengthy finish. (Individual reviewer rating: 91)"
"71","Laphroaig Triple Wood, 48%","Single Malt Scotch","94","100.00","$","This is the first time I’ve been up for reviews here so I had a game plan: play it cool, mark tightly, let everyone know I’m hard to please. Then they gave me this, the whisky equivalent to front row tickets to Neil Young on his current Twisted Road tour: not just a chance to get up close and personal with an old favorite, but to do so with an old favorite who’s on fire. Laphroaig’s owners are intent on ensuring a big peaty engine for any new release, but this is a monster by anyone’s standards. It’s essentially Quarter Cask finished in oloroso sherry casks, so in addition to the intense charcoal smoke attack there are rich fruity notes; blackcurrant and berries. It’s an evening barbecue whisky. Grill that fish until it’s blackened and crispy, drizzle on lemon, and as the smoke rears up in protest, sip this. Big, moody, broody, fruity, and rich: what’s not to love? (Travel Retail and some European specialist retailers.) – (Dominic Roskrow)"
"72","The Macallan Fine Oak, 17 year old, 43%","Single Malt Scotch","94","120.00","$","Another of the Fine Oak series (aged in both bourbon and sherry casks), which will debut in the U.S. in March. Of the five Fine Oak expressions that will be in the U.S. (10, 15, 17, 21, and 30 year old), this is my favorite, slightly besting the 15 year old. Lovely sweet notes (creamy vanilla, light toffee, marshmallow, shortbread, and a kiss of honey) are accompanied by bright fruit (multi-layered citrus) and potpourri of dried spices, along with a hint of nut and wisp of smoke. A very refined and sophisticated whisky. 
"
"73","The Macallan 1824 Limited Release, 48%","Single Malt Scotch","94","1900.00","$","Antique amber. The darkest and most decadent of the four. Quite viscous and soothing, with well-layered notes of apple pie, marmalade, and maple syrup balanced by dried fruits, ginger, polished leather, tobacco, and resinous oak. One to sip and savor very slowly. (This whisky is much better than the last ultra-premium release, the Macallan 55 year old in the Lalique Decanter, and thousands of dollars less.)  
"
"74","The Antiquary, 21 year old, 43%","Blended Scotch Whisky","94","100.00","$","Drier than the 12 year old (reviewed below), with some darker fruit (black raspberry, blueberry) marrying with the brighter orchard fruit.  Sweet up front - honey and caramel - with a peppering of spice (dried vanilla, clove, and cinnamon) increasing as the palate develops.  Dry, oak spice finish.  Lovely! 
"
"75","Black Bull, 30 year old, 50%","Blended Scotch Whisky","94","200.00","$","Well, what have we here? A blend of 50% malt and 50% grain (a very high malt content for a blend), and bottled at 50%, too! The whisky was blended first (very unusual), before being aged in sherry casks for its entire life. Antique amber/chestnut color. Full sherry impact, but never cloying -- the higher alcohol level and grain whisky cut through the sherry and add balance and drinkability. This is a fruity-confection delight, with raisin chutney, fig cake, orange almond scone, and chocolate-covered cherry. Add to the mix richly textured toffee, old oak, polished leather, and a cinnamon-spiced tobacco finish. A rare treat! A great old blend that malt drinkers will embrace."
"76","Black Bull 40 year old 7th release, 47.6%","Blended Scotch Whisky","94","1400","$","Jaw-dropping: Aberlour 1973, Bunnahabhain 1968 and 1969, Bowmore 1968, Caperdonich 1972, Glen Grant 1974, Glenfarclas 1966, Glenlivet 1968 and 1970, Highland Park 1967 and 1970, and Macallan 1969. It includes a 14% grain content from Caledonian 1974, Carsebridge 1970, Girvan 1974, Invergordon 1972, Lochside 1966, North of Scotland 1974, and Port Dundas 1973. An elegant, refined mélange of peach, pear, soft oak, and rose cream florals, with dark fruit, chocolate, and fine pepper. Outstanding."
"77","Blue Hanger 6th Release Berry Bros. & Rudd, 45.6%","Blended Malt Scotch Whisky","94","84.00","$","If you want proof that blended malts can be world class, you'll find it in any bottle of Blue Hanger. Lovingly created by Berry Bros. whisky maker Doug McIvor, every release has been exceptional. Even by the series’ own high standards, this sixth release surpasses itself. The nose is fresh, clean, and citrusy, with wafts of sherry. But there are smoky hints, too. And it's that peaty, earthy note on the palate that gives this release a new dimension, enriching the fruity Speyside sweetness at the whisky's core. The age and quality of the malt asserts itself throughout. This really is stunning stuff. £68"
"78","Royal Salute 62 Gun Salute, 43%","Blended Scotch Whisky","94","3000","$","Named after the gun rounds fired on Royal anniversaries at the Tower of London. Heightened sherry tones with dark Madagascar chocolate, Brazil nut, fondant cream, and faint espresso indulge the nose. One heavenly sip reveals a velvety smooth whisky, thick and sticky, all revolving around the chocolate and nut, with a little support from dark fruits. You can chew over this for hours as the finish soft-pedals the main themes. A work of genius."
"79","Scotch Malt Whisky Society Hunting Hound on Holiday 4.180 24 year old 1989, 51.3%","Single Malt Scotch","94","225","$","From the nose you can tell this is a special whisky, with old, dark, lacquered wood, dusty cigar box, and sea salt combined with dark sweet cherry and a hint of rancio. On the palate it gets even better, with lush, dark cherry perfectly balanced and integrated with oak spice, salt, and peat smoke. There’s clear rancio in the center of it all that's utterly delicious. This stunner finishes with a long, slightly spicy, and entirely lovely finish. (Park Avenue Liquor only)"
"80","Collectivum XXVIII (Diageo Special Releases 2017), 57.3%","Blended Malt Scotch Whisky","94","164","$","An incredibly complex creation using stock from Diageo’s 28 operational single malt distilleries, this has minted toffee, gummy bears, raw gooseberry, fresh whole grain bread, and earthy spices shaken over sweet banoffee pie. Rich fruit, cocoa, granular white chocolate, dark citrus, waxy caramel bars, nutmeg, cinnamon, and bitter dark chocolate. Water stimulates green fruit notes. A beautiful sugared almond note materializes with sweet fudge and dried apple dipped in chocolate. £125"
"81","Compass Box Oak Cross, 46%","Blended Malt Scotch Whisky","93","50.00","$","This has long been a core whisky for Compass Box, but the latest version of it is spicier and fresher than I recall, and without doubt, it's my new best friend. Virgin French oak heads help to contribute oriental and aromatic spices on the nose, with hints of melon and pineapple candy sweets. The taste is a delight, with spearmint, soft toffee, sweet citrus fruit, lemonade mixed with beer, and strawberry wafers. An array of spices from cinnamon to chili to ginger dominate the finish."
"82","Compass Box Flaming Heart 2015 Edition 15th Anniversary, 48.9%","Blended Malt Scotch Whisky","93","150","$","Without dredging up all the brouhaha over the particulars of the component malts, this exemplary whisky has a balance you could rest on a pinhead. Earthy peats, discarded fish boxes, and crisp bacon rind combine in a smokiness you can really get into, while there is honey sweetness, macadamia nuts, and a bouquet of early summer flowers. It dances upon the tongue, sweet with toasted spices, anchored by dark citrus, and with a telling waxiness to the mouthfeel. Get some."
"83","Compass Box Spice Tree Extravaganza, 46%","Blended Malt Scotch Whisky","93","140","$","Recognizably Spice Tree, but it’s richer, more dapper, traveling in style, and wearing better shoes. Peanut brittle, toasted coconut, and pale, light sherry. Honeyed palate with caramelized sugar, red apple, and red berry fruit before the gingersnaps and clove bite. It revs up with another spicy blast for the finish. A tasty fifth Tenth Anniversary bottling from Compass Box; just don’t let yesterday take up too much of today. (12,240 bottles)"
"84","Compass Box The Double Single 2017 Release, 46%","Blended Scotch Whisky","93","175","$","Not seen since 2010, this yields vanilla frosting, menthol, spearmint, cream, dry spices, cedarwood, chopped herbs, and a discernable whiff of old grain. Silky taste of butterscotch; it becomes more honeyed, with creamy vanilla, dried banana, malt, and a pinch of cinnamon, pepper, herbs, clove, and eucalyptus. The yin and yang of Glen Elgin and Girvan makes an admirable exercise in precision, minimalist blending. Mad as a box of frogs."
"85","Johnnie Walker Odyssey, 40%","Blended Malt Scotch Whisky","93","1100","$","Jim Beveridge delivered these aromas of toffee apple, peach, and rich berry fruits by working with European oak casks. The smoke is timid, with hints of background salinity. The finely structured mouthfeel is where this triple malt whisky truly shines: the polished smoothness is exceptional. The flavor journey begins with honey, citrus, and swirling melted chocolate, building to a fire of squeezed orange oils, dry fruits, and pecan nuttiness before concluding with rich espresso, dark caramels, and plain chocolate. Immaculate."
"86","Diamond Jubilee by John Walker & Sons, 42.5%","Blended Scotch Whisky","93","157000.00","$","Bright gold. Amazingly fresh fruits and quince, slowly evolving into mango, blueberry, and a jammy tayberry note. At the same time, exotic spices like cardamom begin to build, particularly when the surface is broken with a drop of water, while vanilla pod notes develop. In the mouth, the grain smooths all the elements, giving an unctuous feel. There’s just sufficient oakiness to give structure and any smoke is far in the distance.  A triumph of the blender’s art. £100,000"
"87","John Walker & Sons Private Collection 2016 Edition, 43%","Blended Scotch Whisky","93","850","$","Here’s your private audience with the inestimable Mr. Beveridge. After contemplating impeccably selected aged liquids from the big five Distillers Company Limited (DCL) grain distilleries, he’s ready. Three vattings representing cask character, distillery character, and Highland single malt were combined in the final blend. Fresh layers of lemon and honey mingle with wood smoke. A seductive soft and creamy palate, saturated with fudge and delicate vanilla fuse together in a study of honeyed perfection. A fine indulgence. The best yet. (8,888 bottles)"
"88","Black Bottle, 10 year old, 43%","Blended Scotch Whisky","93","34.00","$","Black Bottle is unique in that it combines seven different Islay whiskies with grain whisky. This produces a whisky with a beautifully rounded Islay character that will satisfy the discriminating “peat-head,” the drinkability of a blended scotch, and plenty of complexity. For a blend, there’s heft to the whisky. I enjoy the interplay between the peat smoke, brine, seaweed, its firm, malty foundation and pleasingly dry finish. 
"
"89","Royal Salute Stone of Destiny, 38 year old, 40%","Blended Scotch Whisky","93","600.00","$","The last new Chivas release was the 25 year old several years back. To be honest, I didn’t like it as much as Chivas 18 year old. Those extra years contributed an additional dry oak influence which I felt was a bit too dominant—especially on the finish. So you can imagine my concerns before tasting this 38 year old whisky. But this new Royal Salute has something to balance the dry oak that the 25 year old didn’t—lush, rich, sweet sherry notes. It’s quite fruity, with toffee apple, date nut cake, fig, molasses, and golden raisin up front, evolving to dried fruit, pencil shavings, tobacco, and polished leather, with subtle cinnamon and cocoa on the finish. My favorite of the entire Chivas line is the 18 year old (which I rated a 95) for its impeccable balance, but this is still a very impressive whisky!"
"90","Dewar’s 25 year old, 40%","Blended Scotch Whisky","93","225","$","Aged for a quarter century and finished in Royal Brackla casks? Count me in. The nose is highly attractive; a rich maltiness unfolds with vanilla oak, flapjacks, whole almonds, and gentle background spices. Smooth caramels, chocolate orange, and a cappuccino note create a thick, weighty blend that melts gracefully into pools of darker chocolate. The mouth-coating finish has plain chocolate, dry oak, and coffee. Brilliant liquid: smoothness personified."
"91","Ardbeg, 10 year old, 46%","Single Malt Scotch","93","55.00","$","Straw-gold color. On the nose, sweet toffee, citrus notes, seaweed, and spice complement a powerful peat smoke infusion. In body, it is thick and oily. On the palate, a somewhat sweet maltiness up front is run over by a powerful peat smoke locomotive. Again, the whisky is enriched with citrus and pear notes, spice, and seaweed. The finish is powerful, long, and warming. The smoke lingers for minutes, if not hours. If you like your Ardbeg to go to a phenolic extreme, you will cherish this one. This big, powerful whisky makes no apologies for its Islay roots. And the fact that this whisky is bottled at 46% ABV just makes this big whisky even bigger."
"92","Ardbeg An Oa","Single Malt Scotch","93","60","$","Ardbeg's first standard release in nearly a decade, An Oa is matured in virgin oak, Pedro Ximénez, and bourbon barrels, with component whiskies married in the distillery's French oak 'Gathering Vat.' The nose offers sweet peat, smoky lemon rind, ginger, and angelica. A soft and sweet palate entry is followed by hot peat, black tea, peppery cloves, and aniseed. Black pepper lingers through the long, smoky finish."
"93","Balvenie, Cask #17893, 1974 vintage, 52.8%","Single Malt Scotch","93","600.00","$","The newest offering from the impressive Balvenie vintage cask line. Honey, caramel custard, and Seville orange notes, with evolving -- and increasingly noticeable -- dried spice, oak resin, and leather that integrates well with the sweet, fruity notes. Incredible depth and complexity. The Balvenie vintage reputation remains intact."
"94","Balvenie 1973 Vintage, 30 year old, Cask #9219","Single Malt Scotch","93","400.00","$","The last Balvenie Vintage whisky I tasted that was this old was the exceptional 1966 Vintage. This new vintage has some big shoes (or should I say bottles?) to fill, so how does it stand up to the 1966 Vintage? This 1973 Vintage is equally as impressive. In contrast to the massive, evolving, sherry-influenced 30 year old reviewed below, this one shows more subtlety and finesse. It is also a very clean and polished affair-signs of an obviously excellent cask. A honeyed, malty foundation incorporates notes of dried fruit (orange, lemon), complex spice (vanilla, cinnamon, sandalwood), and subtle herbs. Very contemplative. 
"
"95","Balvenie 25 year old, 46.9%","Single Malt Scotch","93","250.00","$","Deep amber color. Exotic aromas of honey, vanilla, and tropical fruit (coconut, pineapple, mango). Medium to full in body, and rich in texture. The palate delivers what the aroma promises-honey, vanilla, and more tropical fruit, with a somewhat dry and rather lengthy finish. The Balvenie distillery enjoys an excellent reputation. The older expressions are particularly noteworthy. They age very gracefully. This one is a pure joy to drink. 
"
"96","Balvenie 1961 55 year old, 41.7%","Single Malt Scotch","93","60,000/set","$","Aged in a European oak oloroso sherry hogshead. Orange marmalade and lanolin on the nose, with caramel and candle wax dripped onto old leather. Full-bodied, with slightly bitter orange notes, plus nutmeg and aniseed on the palate. The orange theme persists into the finish as dried-out Jaffa segments, plus edgy oak tannins. A highly individualistic Balvenie."
"97","Bowmore, 16 year old, 1989 vintage, 51.8%","Single Malt Scotch","93","90.00","$","No frills here, just pure, unadulterated Bowmore. This Islay whisky speaks of its location in a very pure and natural way. I find invigorating brine, seaweed, green olive, and fishnets, along with the classic Bowmore peat smoke. All these flavors are softened by gentle vanilla and honeyed malt, while background tropical fruit add complexity. 
"
"98","The Whisky Exchange Masterpieces Range (distilled at Bowmore) 1990 (18 year old), 61.6%","Single Malt Scotch","93","191.00","$","Bowmore lovers rarely get excited about the smokiness of their favorite single malt. Rather, they obsess about the tropical fruits that some old bottlings exhibit. Here is one such example. Initially the nose suggests verjus and linseed oil, but then peachiness rather than beachiness emerges. The smoke hits first on the tongue, backed up with mango and violet, then the tropical elements and the smoke play off each other up until a guava-laden finish. £120"
"99","Brora 37 year old (Diageo Special Releases 2015), 50.4%","Single Malt Scotch","93","1925","$","An old Special Releases favorite, this is the fourteenth such Brora bottling. Distilled in 1977 and matured in refill American oak hogsheads, it is the oldest Brora issued by Diageo to date. 2,976 bottles have been released. Leather, ginger, and stewed fruits on the nose, with smoky, dusty aromas. Lighter and fresher than previous veteran releases, with cooking apples, cinnamon, fudge, dried grass, and light peat on the palate. Sweet notes fade, leaving earthy, savory smoke in the long finish."
"100","Brora 38 year old, 48.6%","Single Malt Scotch","93","2200","$","Another Special Releases staple, this is the fifteenth and oldest Brora in the series to date. The nose offers hemp, oiled brown paper, lemon juice, ashy peat, and sweetening malt. The oily palate boasts sweet fruit notes, peaty toffee, and ginger. Long in the softly smoky finish, with black pepper, plain chocolate, char, and licorice. Diageo Special Releases 2016. (2,984 bottles)"
"101","Brora 34 year old (Diageo Special Releases 2017), 51.9%","Single Malt Scotch","93","1,700","$","Distilled in 1982, this expression was matured in refill American oak hogsheads. It is the 16th Brora in the Special Releases series. Ripe pears and vanilla on the nose; progressively more perfumed, with developing toffee notes. Slightly waxy on the palate, with fresh-squeezed lemon and sweet background smoke contrasting with spicy dark berries. Plain chocolate, sultanas, and raisins in the medium-length finish. A relatively restrained Brora. (3,000 bottles)"
"102","Bruichladdich Legacy III, 35 year old, 1968 vintage, 40.7%","Single Malt Scotch","93","430.00","$","This gem is soft and seductive in personality. It is also very clean and still quite fresh for its age-obviously aged in an excellent cask. You'll find a bed of gentle sweetness, reminding me of coconut cream and vanilla mousse. A mélange of fruit (melon, black raspberries, strawberries) marries perfectly with the sweetness. Fresh brine notes and licorice root emerge on the palate and become more prominent towards the finish. This Legacy III is more polished and rounded, and not as tired or woody when compared to the recent 40 year old bottling. And the 40 year old, at $2,200 a pop, is also about five times more expensive."
"103","Bruichladdich 1984, 43.7%","Single Malt Scotch","93","1,100","$","This 32 year old bottling was aged in twelve bourbon barrels and re-casked into fresh bourbon wood in 2009. It offers a nose of canned peaches, dates, marzipan, and a hint of milky coffee. Rich fruit flavors lead on the palate: peach, pineapple, and mango, with vanilla and nutty oak. Slowly drying in the finish, with warming spices. Sometimes good bourbon casks are all you need. (3,000 bottles)"
"104","Murray McDavid 'Mission' (distilled at Clynelish) 1986, 46%","Single Malt Scotch","93","150.00","$","Deep gold color. Fresh, exciting, spicy aroma of brine, exotic pepper, seaweed, and raw fruit, with interwoven notes of delicate peat and caramel. Full-bodied and muscular. Flavors are incredibly vibrant and dynamic-almost challenging-and are similar to its aroma. Salty, peppery, intense finish. 
"
"105","Cragganmore, 29 year old, 52.9%","Single Malt Scotch","93","300.00","$","Style: Speyside single malt scotch Color: Shimmering gold Aroma: Very complex, with a potpourri of spicy, herbal notes. There’s a lot going on here. Nice depth too. Palate: Similar to its aroma, nicely balanced, and evolving. Lingering, spicy finish. 
"
"106","Cragganmore Triple Matured Edition, 48%","Single Malt Scotch","93","135","$","Bottled for Friends of the Classic Malts (which means most of you), this is Cragganmore in early autumnal guise. Dry leaves underfoot, ripe black fruits on the bushes, waxed jacket, chestnut, and a whiff of cedary smoke, opening into dried peach. The palate is thickly textured, with those fruits, dark chocolate, and pomegranate molasses. The immensely long finish gives you light pepper, smoke, and blackberry jam. Cragganmore at its very best, and at a great price. £80"
"107","Dalmore 1973 Vintage Gonzalez Byass Sherry Cask Finish, 42% ABV","Single Malt Scotch","93","250.00","$","A thick, lush whisky. Notes of honey-drenched citrus, orange marmalade, chewy toffee and almonds, peppered with that classic coastal brine freshness and background spice I have come to love in Dalmore. Long, contemplative finish. This whisky packs plenty of freshness and liveliness for 30 years on oak and is a pure joy to drink. 
"
"108","The Dalmore, 40 year old, 40%","Single Malt Scotch","93","3000.00","$","By far the softest and gentlest of the range, and oh so drinkable. Hard to believe that this whisky is 40 years old, actually, as it shows no sign of excessive oak. Instead, there are soothing layers of caramel and toffee as the whisky’s foundation. Add orange marmalade and other juicy citrus fruits, cinnamon spice, graham cracker, and lightly toasted almond. A gentle, subtly sophisticated Dalmore, and an interesting comparison to the much different, more visceral 50 year old. If I were a rich man, I could drink this whisky every day -- it’s so easy-going."
"109","The Dalmore 1978, 46%","Single Malt Scotch","93","750.00","$","This 1978 vintage release from The Dalmore has been ‘finished’ for two years in Matusalem sherry casks from Gonzalez Byass, following 29 years in American white oak. Just 477 bottles are available. Freshly-ground coffee, marzipan, dark berries, and rich sherry on the smooth nose, with milk chocolate and Jaffa oranges. Smokier with water. Citrus fruits and more milk chocolate on the rich, full palate, plus roasted almonds. Long and juicy in the finish, with aniseed and fruit pastilles. "
"110","Dalmore 50 year old, 40%","Single Malt Scotch","93","60,000","$","This veteran Dalmore was matured successively in bourbon casks, Matusalem oloroso sherry casks, colheita port pipes, more bourbon wood, and finally, Champagne casks. The nose offers orange marmalade, vanilla, milk chocolate, maraschino cherries, white pepper, and a hint of black treacle. Sweet sherry and sultanas on the early palate, with developing prunes and licorice. The finish is extremely long, with increasing licorice, plain chocolate, wood spice, and tannic oak. (50 bottles)"
"111","GlenDronach, 15 year old, 46%","Single Malt Scotch","93","95.00","$","Deeper, richer, more viscous, and more intriguing than the 12 year old (and not as sappy as the 18 year old). Complex and intriguing, with raisin, orange marmalade, grape skin, sugar plum, cinnamon bun, raspberry preserve, mixed nuts, and coal ash. Nice tannic grip on the finish. The best of the bunch, and very impressive!"
"112","GlenDronach 21 year old Parliament, 48%","Single Malt Scotch","93","262","$","Part of the core range from GlenDronach, Parliament has been aged in a mix of oloroso and Pedro Ximenez sherry casks and is non-chill filtered. Quite sweet sherry on the nose, with fresh leather, nutty peach notes, cloves, and pepper. Rich sherried fruits on the full palate, with more pepper, ginger, and plain chocolate. The finish is long, with licorice and oak tannins. Not to be rushed!"
"113","GlenDronach Grandeur 24 year old (Batch 9), 48.7%","Single Malt Scotch","93","750","$","A triumphant expression including whisky distilled in 1990, 1992, and 1993 and matured in Spanish oak sherry butts. The nose offers creamy sweet sherry, figs, a hint of black treacle, cinnamon, and ripe cherries. The full palate yields sultanas, tangy citrus fruit, sweet oak, roasted chestnuts, and ginger. Lingering bright fruit notes in the finish, with raisins, plain chocolate, and cigar boxes. (1,487 bottles)"
"114","Glenfarclas Family Cask 1972 (Cask 3551), 44.7%","Single Malt Scotch","93","599.00","$","Dark amber in hue, this shows immediate mature elegance with great sweetness — think of spiced honey or mead. There are some light notes of pecan pie and all the while that thread of the sod. Glenfarclas can never fully escape its dark roots. There’s dried peach and fruit leather, toffee, and, with water, biscuits dunked in tea. The palate is autumnal and soft — fruit compote and peppermint. This is what you want from fully mature Glenfarclas at its peak. (A U.S. exclusive). "
"115","Glenfarclas 1953, 47.2%","Single Malt Scotch","93","9420.00","$","The hits just keep on coming for Glenfarclas. Here we see it not only with enormous age but in relaxed mode in terms of oak. You can tell it’s old: the leathery waxiness and exotic fruits of whisky rancio; you can tell it’s Glenfarclas because of the ever-present earthiness, but both are intensified into a new aromatic realm: gentlemen’s barbershop, rowan berry, and images of an old bonfire next to a gingerbread house. Mysterious, subtle, and highly complex. £5,995"
"116","Glenfiddich, 1973 Vintage, Cask No. 9874, 46.5%","Single Malt Scotch","93","600.00","$","An impressive single cask bottling of Glenfiddich. It really shows the natural potential of this distillery. Nothing fancy here, just the pure elegance of Glenfiddich. Notes of shortbread, demerara sugar, and white chocolate, spiced with toasted nuts, cinnamon, ginger, and nutmeg. Very clean and polished. 
"
"117","The Glenlivet Cellar Collection, 1964 vintage, 44.7%","Single Malt Scotch","93","2000.00","$","The fifth in a series of Glenlivet Cellar Collection whiskies. This is a very complex whisky, with exotic notes of oak, sultana, vanilla cream, almonds, and evergreen. These notes are quite floral on the nose and well balanced, with no hint of excessive aging. The palate is polished, deep, and continuously evolving, with a long spicy finish. The oak notes reveal that this whisky has some years on it, but they in no way dominate or detract from the other flavors. An outstanding effort! This rivals the 1959 vintages as the best of the Cellar Collection releases. You’ll need deep pockets, though. 
"
"118","The Glenlivet Archive, 21 year old, 43%","Single Malt Scotch","93","100.00","$","Amber chestnut color. Aromas of mature oak, leather, ripe fruit, and toffee, are very deep and well balanced. Its flavors are rich and enveloping, with notes of treacle, toffee, roasted nuts, and a long, spicy, woody finish that lingers. 
"
